"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 2165","Terminal 11 - 01/29/2023 8:57 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
2060042519,"PD KALE GREEN 24CT       ",1,0,$22.58
2060042519,"PD KALE GREEN 24CT       ",0,30,-$6.77
2060042518,"PD GRNS COLLARD 24       ",1,0,$32.76
2060042518,"PD GRNS COLLARD 24       ",0,50,-$16.38
61070809791,"PD HRB BASIL 1LB         ",0,1,$51.40
61070809791,"PD HRB BASIL 1LB         ",0,30,-$15.42
9492247024,"GRAPESEED OIL 100%       ",0,1,$82.53
76069503348,"RED LIGHT KIDNEY   25#   ",1,0,$23.39
2060042658,"PD ONION RED 25#         ",1,0,$14.66
0,Sub-Total,0,0,$188.75
0,Tax,0,0,$16.28
0,Total,0,0,$205.03
0,"DEBIT    0445",0,0,$205.03
0,Balance,0,0,$0.00
