"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 13440","Terminal 11 - 04/30/2023 10:46 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
2060059143,"PD CARROT JMBO 25#       ",1,0,$11.15
2060042750,"PD SQUASH ITALN MD       ",1,0,$15.66
76069503125,"PD BROC CROWNS DW        ",1,0,$25.48
2060042708,"PD PPR BELL GREEN        ",1,0,$18.31
2700039061,"TOM SAUCE HUNTS          ",0,1,$36.34
3338345566,"PD POTATO RED A #2       ",1,0,$28.43
3338345566,"PD POTATO RED A #2       ",1,0,$28.43
2060042761,"PD YAM JEWEL JBO         ",1,0,$17.65
2060042750,"PD SQUASH ITALN MD       ",1,0,$15.66
76069503125,"PD BROC CROWNS DW        ",1,0,$25.48
76069503125,"PD BROC CROWNS DW        ",1,0,$25.48
76069503125,"PD BROC CROWNS DW        ",1,0,$25.48
2060042625,"PD CABB GREEN SACK       ",1,0,$19.21
0,Sub-Total,0,0,$292.76
0,Tax,0,0,$25.25
0,Total,0,0,$318.01
0,"DEBIT    0445",0,0,$318.01
0,Balance,0,0,$0.00
