"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 14547","Terminal 11 - 05/08/2023 4:01 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
20795010000,"CHX HAL BRST JMB         ",40,0,$63.60
20795010000,"CHX HAL BRST JMB         ",40,0,$63.60
20795010000,"CHX HAL BRST JMB         ",40,0,$63.60
20795010000,"CHX HAL BRST JMB         ",40,0,$63.60
20795010000,"CHX HAL BRST JMB         ",40,0,$63.60
20795010000,"CHX HAL BRST JMB         ",40,0,$63.60
20795010000,"CHX HAL BRST JMB         ",40,0,$63.60
9492247024,"GRAPESEED OIL 100%       ",0,1,$94.72
4473807234,"SCE SWEET CHILI    32Z   ",0,1,$33.95
0,Sub-Total,0,0,$573.87
0,Tax,0,0,$49.50
0,Total,0,0,$623.37
0,"DEBIT    6866",0,0,$623.37
0,Balance,0,0,$0.00
