"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 9954","Terminal 12 - 08/11/2023 10:10 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
76069557368,"SPC GRAN ONION     5#    ",1,0,$22.49
85159800729,"GLOVE NITRILE LRG        ",1,0,$5.11
2060059143,"PD CARROT JMBO 25#       ",1,0,$19.31
2060044658,"PD BRUSSEL SPROUT        ",1,0,$79.41
2060042750,"PD SQUASH ITALN MD       ",1,0,$18.45
76069503125,"PD BROC CROWNS DW        ",1,0,$22.61
20798350000,"BF INS RND XT SEL  R/W   ",69.3,0,$252.25
20798350000,"BF INS RND XT SEL  R/W   ",69.3,0,-$13.86
4143000669,"SALT IODIZED ROUND       ",0,1,$14.48
76069502249,"CONT SOUP CMB SC16       ",1,0,$31.12
20772320000,"CHX BRST JMB             ",40,0,$61.60
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.80
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.80
74243400268,"CHILI DICED              ",0,1,$33.24
76069502248,"CONT SOUP CMB SC12       ",1,0,$29.69
20772320000,"CHX BRST JMB             ",40,0,$61.60
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.80
20795030000,"CHX HAL LEG QTR SM       ",40,0,$28.80
2060080007,"PD POTATO RED A #2       ",1,0,$42.79
2060080007,"PD POTATO RED A #2       ",0,25,-$10.70
0,Sub-Total,0,0,$784.79
0,Tax,0,0,$67.69
0,Total,0,0,$852.48
0,"MC/VISA  6866",0,0,$852.48
0,Balance,0,0,$0.00
