"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 29782","Terminal 11 - 08/16/2023 10:33 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
80169881767,"FRY PAN COATED 14I       ",1,0,$39.66
80169881767,"FRY PAN COATED 14I       ",1,0,$39.66
76069501857,"SYRUP MOLASSES CQ        ",1,0,$20.10
2060059143,"PD CARROT JMBO 25#       ",1,0,$19.16
76335203030,"WINE CKING SHERRY  4/1GL ",0,1,$20.17
2060059143,"PD CARROT JMBO 25#       ",1,0,$19.16
2060042791,"PD BROC CROWNS DW        ",4,0,$90.44
64919399999,"SAUCE FISH SQUID   25Z   ",0,1,$29.96
2060044658,"PD BRUSSEL SPROUT        ",2,0,$158.82
2060044658,"PD BRUSSEL SPROUT        ",0,25,-$39.70
2060080007,"PD POTATO RED A #2       ",2,0,$85.58
2060080007,"PD POTATO RED A #2       ",0,50,-$42.79
2700039061,"TOM SAUCE HUNTS          ",0,1,$36.71
0,Sub-Total,0,0,$476.93
0,Tax,0,0,$41.14
0,Total,0,0,$518.07
0,"DEBIT    6866",0,0,$518.07
0,Balance,0,0,$0.00
