"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 7677","Terminal 12 - 07/29/2023 8:43 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
80169881767,"FRY PAN COATED 14I       ",1,0,$38.20
80169881767,"FRY PAN COATED 14I       ",1,0,$38.20
20772320000,"CHX BRST JMB             ",40,0,$55.60
20772320000,"CHX BRST JMB             ",40,0,$55.60
20776700000,"CHX LEG QTR SM           ",40,0,$25.20
20776700000,"CHX LEG QTR SM           ",40,0,$25.20
20776700000,"CHX LEG QTR SM           ",40,0,$25.20
76069503125,"PD BROC CROWNS DW        ",1,0,$23.47
76335203030,"WINE CKING SHERRY  4/1GL ",0,1,$20.18
76069502533,"TOM PETITE DICED         ",0,1,$30.23
2060042750,"PD SQUASH ITALN MD       ",1,0,$19.42
2060042750,"PD SQUASH ITALN MD       ",0,25,-$4.86
2060059143,"PD CARROT JMBO 25#       ",1,0,$18.97
20776700000,"CHX LEG QTR SM           ",40,0,$25.20
0,Sub-Total,0,0,$395.81
0,Tax,0,0,$34.14
0,Total,0,0,$429.95
0,"MC/VISA  6866",0,0,$429.95
0,Balance,0,0,$0.00
