"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 29787","Terminal 11 - 08/16/2023 10:54 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
20772320000,"CHX BRST JMB             ",40,0,$65.20
20772320000,"CHX BRST JMB             ",40,0,$65.20
20772320000,"CHX BRST JMB             ",40,0,$65.20
2060042765,"PD TOMATILLO CS          ",1,0,$44.64
2060042765,"PD TOMATILLO CS          ",-1,0,-$44.64
2060042765,"PD TOMATILLO CS          ",1,0,$44.64
2060042765,"PD TOMATILLO CS          ",0,50,-$22.32
20798350000,"BF INS RND XT SEL  R/W   ",68.6,0,$249.70
20798350000,"BF INS RND XT SEL  R/W   ",68.6,0,-$13.72
20772320000,"CHX BRST JMB             ",40,0,$65.20
20772320000,"CHX BRST JMB             ",40,0,$65.20
20772320000,"CHX BRST JMB             ",40,0,$65.20
20776700000,"CHX LEG QTR SM           ",40,0,$27.60
20776700000,"CHX LEG QTR SM           ",40,0,$27.60
71575620002,"PD STRAWBERRY NATL       ",1,0,$3.69
0,Sub-Total,0,0,$708.39
0,Tax,0,0,$61.10
0,Total,0,0,$769.49
0,"DEBIT    6866",0,0,$769.49
0,Balance,0,0,$0.00
