"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 3507","Terminal 11 - 09/06/2023 10:48 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,-$104.90
2060042791,"PD BROC CROWNS DW        ",1,0,$20.20
76069555402,"VINEGAR BLSMC 1DMD 5LTR  ",1,0,$15.34
76069557368,"SPC GRAN ONION     5#    ",1,0,$22.49
76069557320,"SPC GARLIC GRAN    7#    ",1,0,$24.31
76335203030,"WINE CKING SHERRY  4/1GL ",0,1,$20.17
2060059143,"PD CARROT JMBO 25#       ",1,0,$19.16
2060059143,"PD CARROT JMBO 25#       ",1,0,$19.16
2060080007,"PD POTATO RED A #2       ",1,0,$31.88
2060080007,"PD POTATO RED A #2       ",1,0,$31.88
2060042791,"PD BROC CROWNS DW        ",1,0,$20.20
2060042791,"PD BROC CROWNS DW        ",1,0,$20.20
20772320000,"CHX BRST JMB             ",40,0,$76.40
20772320000,"CHX BRST JMB             ",40,0,$76.40
20795030000,"CHX HAL LEG QTR SM       ",40,0,$27.20
20795030000,"CHX HAL LEG QTR SM       ",40,0,$27.20
20795030000,"CHX HAL LEG QTR SM       ",40,0,$27.20
20798350000,"BF INS RND XT SEL  R/W   ",67.4,0,$279.04
20798350000,"BF INS RND XT SEL  R/W   ",67.4,0,-$13.48
7127038559,"QUINOA WHITE       5#    ",0,1,$22.93
7127038559,"QUINOA WHITE       5#    ",0,1,$22.93
2060042750,"PD SQUASH ITALN MD       ",1,0,$25.53
2060042750,"PD SQUASH ITALN MD       ",1,0,$25.53
2060042750,"PD SQUASH ITALN MD       ",1,0,$25.53
2060042750,"PD SQUASH ITALN MD       ",1,0,$25.53
2060042791,"PD BROC CROWNS DW        ",1,0,$20.20
2060042625,"PD CABB GREEN SACK       ",1,0,$20.21
0,Sub-Total,0,0,$933.34
0,Tax,0,0,$80.50
0,Total,0,0,"$1,013.84"
0,"DEBIT    6866",0,0,$908.94
0,Balance,0,0,$104.90
