"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 11906","Terminal 12 - 01/25/2023 4:48 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
2060042648,"PD MUSH SMALL 10LB       ",2,0,$63.74
2060042791,"PD BROC CROWNS DW        ",6,0,$138.78
2060042750,"PD SQUASH ITALN MD       ",6,0,$115.80
3338345566,"PD POTATO RED A #2       ",1,0,$27.34
3338345566,"PD POTATO RED A #2       ",1,0,$27.34
2060042761,"PD YAM JEWEL JBO         ",1,0,$17.64
2060042625,"PD CABB GREEN SACK       ",1,0,$18.93
2060042545,"PD ONION YEL JBO         ",1,0,$22.62
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
2060059143,"PD CARROT JMBO 25#       ",1,0,$12.04
2060042648,"PD MUSH SMALL 10LB       ",-2,0,-$63.74
2060042648,"PD MUSH SMALL 10LB       ",2,0,$63.74
2060042648,"PD MUSH SMALL 10LB       ",0,50,-$31.87
0,Sub-Total,0,0,$424.40
0,Tax,0,0,$36.60
0,Total,0,0,$461.00
0,"DEBIT    0445",0,0,$461.00
0,Balance,0,0,$0.00
